orig_names_21,plot_name_21,date,geography,geography_code,Rural_Urban,total_pop,value,cob_region,cob,percs
Africa: Africa not otherwise specified,Africa not otherwise specified,2011,Hounslow,E09000018,Total,253957,383,Africa,Africa not otherwise specified,0.15
Africa: Africa not otherwise specified,Africa not otherwise specified,2011,Kingston upon Thames,E09000021,Total,160060,63,Africa,Africa not otherwise specified,0.04
Africa: Africa not otherwise specified,Africa not otherwise specified,2011,Merton,E09000024,Total,199693,119,Africa,Africa not otherwise specified,0.06
Africa: Africa not otherwise specified,Africa not otherwise specified,2011,Redbridge,E09000026,Total,278970,415,Africa,Africa not otherwise specified,0.15
Africa: Africa not otherwise specified,Africa not otherwise specified,2011,Richmond upon Thames,E09000027,Total,186990,54,Africa,Africa not otherwise specified,0.03
Africa: Africa not otherwise specified,Africa not otherwise specified,2011,Sutton,E09000029,Total,190146,81,Africa,Africa not otherwise specified,0.04
Africa: Africa not otherwise specified,Africa not otherwise specified,2011,Waltham Forest,E09000031,Total,258249,141,Africa,Africa not otherwise specified,0.05
Africa: Central and Western Africa: Ghana,Ghana,2011,Camden,E09000007,Total,220338,593,Africa,Ghana,0.27
Africa: Central and Western Africa: Ghana,Ghana,2011,City of London,E09000001,Total,7375,20,Africa,Ghana,0.27
Africa: Central and Western Africa: Ghana,Ghana,2011,Hackney,E09000012,Total,246270,3604,Africa,Ghana,1.46
Africa: Central and Western Africa: Ghana,Ghana,2011,Hammersmith and Fulham,E09000013,Total,182493,724,Africa,Ghana,0.4
Africa: Central and Western Africa: Ghana,Ghana,2011,Haringey,E09000014,Total,254926,3500,Africa,Ghana,1.37
Africa: Central and Western Africa: Ghana,Ghana,2011,Islington,E09000019,Total,206125,826,Africa,Ghana,0.4
Africa: Central and Western Africa: Ghana,Ghana,2011,Kensington and Chelsea,E09000020,Total,158649,332,Africa,Ghana,0.21
Africa: Central and Western Africa: Ghana,Ghana,2011,Lambeth,E09000022,Total,303086,4413,Africa,Ghana,1.46
Africa: Central and Western Africa: Ghana,Ghana,2011,Lewisham,E09000023,Total,275885,2845,Africa,Ghana,1.03
Africa: Central and Western Africa: Ghana,Ghana,2011,Newham,E09000025,Total,307984,4680,Africa,Ghana,1.52
Africa: Central and Western Africa: Ghana,Ghana,2011,Southwark,E09000028,Total,288283,4808,Africa,Ghana,1.67
Africa: Central and Western Africa: Ghana,Ghana,2011,Tower Hamlets,E09000030,Total,254096,725,Africa,Ghana,0.29
Africa: Central and Western Africa: Ghana,Ghana,2011,Wandsworth,E09000032,Total,306995,2014,Africa,Ghana,0.66
Africa: Central and Western Africa: Ghana,Ghana,2011,Westminster,E09000033,Total,219396,406,Africa,Ghana,0.19
Africa: Central and Western Africa: Ghana,Ghana,2011,Barking and Dagenham,E09000002,Total,185911,2673,Africa,Ghana,1.44
Africa: Central and Western Africa: Ghana,Ghana,2011,Barnet,E09000003,Total,356386,1885,Africa,Ghana,0.53
Africa: Central and Western Africa: Ghana,Ghana,2011,Bexley,E09000004,Total,231997,1169,Africa,Ghana,0.5
Africa: Central and Western Africa: Ghana,Ghana,2011,Brent,E09000005,Total,311215,2680,Africa,Ghana,0.86
Africa: Central and Western Africa: Ghana,Ghana,2011,Bromley,E09000006,Total,309392,863,Africa,Ghana,0.28
Africa: Central and Western Africa: Ghana,Ghana,2011,Croydon,E09000008,Total,363378,5363,Africa,Ghana,1.48
Africa: Central and Western Africa: Ghana,Ghana,2011,Ealing,E09000009,Total,338449,1125,Africa,Ghana,0.33
Africa: Central and Western Africa: Ghana,Ghana,2011,Enfield,E09000010,Total,312466,4089,Africa,Ghana,1.31
Africa: Central and Western Africa: Ghana,Ghana,2011,Greenwich,E09000011,Total,254557,2315,Africa,Ghana,0.91
Africa: Central and Western Africa: Ghana,Ghana,2011,Harrow,E09000015,Total,239056,866,Africa,Ghana,0.36
Africa: Central and Western Africa: Ghana,Ghana,2011,Havering,E09000016,Total,237232,678,Africa,Ghana,0.29
Africa: Central and Western Africa: Ghana,Ghana,2011,Hillingdon,E09000017,Total,273936,568,Africa,Ghana,0.21
Africa: Central and Western Africa: Ghana,Ghana,2011,Hounslow,E09000018,Total,253957,1148,Africa,Ghana,0.45
Africa: Central and Western Africa: Ghana,Ghana,2011,Kingston upon Thames,E09000021,Total,160060,231,Africa,Ghana,0.14
Africa: Central and Western Africa: Ghana,Ghana,2011,Merton,E09000024,Total,199693,2743,Africa,Ghana,1.37
Africa: Central and Western Africa: Ghana,Ghana,2011,Redbridge,E09000026,Total,278970,1152,Africa,Ghana,0.41
Africa: Central and Western Africa: Ghana,Ghana,2011,Richmond upon Thames,E09000027,Total,186990,165,Africa,Ghana,0.09
Africa: Central and Western Africa: Ghana,Ghana,2011,Sutton,E09000029,Total,190146,869,Africa,Ghana,0.46
Africa: Central and Western Africa: Ghana,Ghana,2011,Waltham Forest,E09000031,Total,258249,2824,Africa,Ghana,1.09
Africa: Central and Western Africa: Nigeria,Nigeria,2011,Camden,E09000007,Total,220338,1060,Africa,Nigeria,0.48
Africa: Central and Western Africa: Nigeria,Nigeria,2011,City of London,E09000001,Total,7375,12,Africa,Nigeria,0.16
Africa: Central and Western Africa: Nigeria,Nigeria,2011,Hackney,E09000012,Total,246270,6692,Africa,Nigeria,2.72
Africa: Central and Western Africa: Nigeria,Nigeria,2011,Hammersmith and Fulham,E09000013,Total,182493,941,Africa,Nigeria,0.52
Africa: Central and Western Africa: Nigeria,Nigeria,2011,Haringey,E09000014,Total,254926,2760,Africa,Nigeria,1.08
Africa: Central and Western Africa: Nigeria,Nigeria,2011,Islington,E09000019,Total,206125,1547,Africa,Nigeria,0.75
Africa: Central and Western Africa: Nigeria,Nigeria,2011,Kensington and Chelsea,E09000020,Total,158649,512,Africa,Nigeria,0.32
Africa: Central and Western Africa: Nigeria,Nigeria,2011,Lambeth,E09000022,Total,303086,6211,Africa,Nigeria,2.05
Africa: Central and Western Africa: Nigeria,Nigeria,2011,Lewisham,E09000023,Total,275885,9554,Africa,Nigeria,3.46
Africa: Central and Western Africa: Nigeria,Nigeria,2011,Newham,E09000025,Total,307984,7545,Africa,Nigeria,2.45
Africa: Central and Western Africa: Nigeria,Nigeria,2011,Southwark,E09000028,Total,288283,13588,Africa,Nigeria,4.71
