date,geography,geography_code,total_pop,value,cob_region,cob,percs
2021,South West,E12000009,5701188,40742,Middle East and Asia,India,0.71
2021,North East,E12000001,2647004,1812,Middle East and Asia,Other Southern Asia,0.07
2021,North West,E12000002,7417398,7575,Middle East and Asia,Other Southern Asia,0.1
2021,Yorkshire and The Humber,E12000003,5480772,6783,Middle East and Asia,Other Southern Asia,0.12
2021,East Midlands,E12000004,4880054,5285,Middle East and Asia,Other Southern Asia,0.11
2021,West Midlands,E12000005,5950757,14165,Middle East and Asia,Other Southern Asia,0.24
2021,East of England,E12000006,6335077,7580,Middle East and Asia,Other Southern Asia,0.12
2021,London,E12000007,8799725,70683,Middle East and Asia,Other Southern Asia,0.8
2021,South East,E12000008,9278064,41416,Middle East and Asia,Other Southern Asia,0.45
2021,South West,E12000009,5701188,8043,Middle East and Asia,Other Southern Asia,0.14
2021,North East,E12000001,2647004,9971,Middle East and Asia,Pakistan,0.38
2021,North West,E12000002,7417398,125110,Middle East and Asia,Pakistan,1.69
2021,Yorkshire and The Humber,E12000003,5480772,100202,Middle East and Asia,Pakistan,1.83
2021,East Midlands,E12000004,4880054,28771,Middle East and Asia,Pakistan,0.59
2021,West Midlands,E12000005,5950757,112441,Middle East and Asia,Pakistan,1.89
2021,East of England,E12000006,6335077,41421,Middle East and Asia,Pakistan,0.65
2021,London,E12000007,8799725,129774,Middle East and Asia,Pakistan,1.47
2021,South East,E12000008,9278064,60610,Middle East and Asia,Pakistan,0.65
2021,South West,E12000009,5701188,8154,Middle East and Asia,Pakistan,0.14
2021,North East,E12000001,2647004,1568,Middle East and Asia,Sri Lanka,0.06
2021,North West,E12000002,7417398,6049,Middle East and Asia,Sri Lanka,0.08
2021,Yorkshire and The Humber,E12000003,5480772,2858,Middle East and Asia,Sri Lanka,0.05
2021,East Midlands,E12000004,4880054,6333,Middle East and Asia,Sri Lanka,0.13
2021,West Midlands,E12000005,5950757,7623,Middle East and Asia,Sri Lanka,0.13
2021,East of England,E12000006,6335077,13159,Middle East and Asia,Sri Lanka,0.21
2021,London,E12000007,8799725,80379,Middle East and Asia,Sri Lanka,0.91
2021,South East,E12000008,9278064,20164,Middle East and Asia,Sri Lanka,0.22
2021,South West,E12000009,5701188,3728,Middle East and Asia,Sri Lanka,0.07
2021,North East,E12000001,2647004,1,Other,Other,0
2021,North West,E12000002,7417398,8,Other,Other,0
2021,Yorkshire and The Humber,E12000003,5480772,4,Other,Other,0
2021,East Midlands,E12000004,4880054,7,Other,Other,0
2021,West Midlands,E12000005,5950757,7,Other,Other,0
2021,East of England,E12000006,6335077,11,Other,Other,0
2021,London,E12000007,8799725,21,Other,Other,0
2021,South East,E12000008,9278064,19,Other,Other,0
2021,South West,E12000009,5701188,5,Other,Other,0
2021,North East,E12000001,2647004,888,The Americas and the Caribbean,All Central American countries,0.03
2021,North West,E12000002,7417398,2324,The Americas and the Caribbean,All Central American countries,0.03
2021,Yorkshire and The Humber,E12000003,5480772,1593,The Americas and the Caribbean,All Central American countries,0.03
2021,East Midlands,E12000004,4880054,1031,The Americas and the Caribbean,All Central American countries,0.02
2021,West Midlands,E12000005,5950757,1288,The Americas and the Caribbean,All Central American countries,0.02
2021,East of England,E12000006,6335077,1995,The Americas and the Caribbean,All Central American countries,0.03
2021,London,E12000007,8799725,8331,The Americas and the Caribbean,All Central American countries,0.09
2021,South East,E12000008,9278064,3697,The Americas and the Caribbean,All Central American countries,0.04
2021,South West,E12000009,5701188,1785,The Americas and the Caribbean,All Central American countries,0.03
2021,North East,E12000001,2647004,1807,The Americas and the Caribbean,Other North America,0.07
2021,North West,E12000002,7417398,5913,The Americas and the Caribbean,Other North America,0.08
2021,Yorkshire and The Humber,E12000003,5480772,4015,The Americas and the Caribbean,Other North America,0.07
2021,East Midlands,E12000004,4880054,3997,The Americas and the Caribbean,Other North America,0.08
2021,West Midlands,E12000005,5950757,4162,The Americas and the Caribbean,Other North America,0.07
2021,East of England,E12000006,6335077,7087,The Americas and the Caribbean,Other North America,0.11
2021,London,E12000007,8799725,22799,The Americas and the Caribbean,Other North America,0.26
2021,South East,E12000008,9278064,15145,The Americas and the Caribbean,Other North America,0.16
2021,South West,E12000009,5701188,7708,The Americas and the Caribbean,Other North America,0.14
2021,North East,E12000001,2647004,3460,The Americas and the Caribbean,United States,0.13
2021,North West,E12000002,7417398,10995,The Americas and the Caribbean,United States,0.15
2021,Yorkshire and The Humber,E12000003,5480772,8818,The Americas and the Caribbean,United States,0.16
2021,East Midlands,E12000004,4880054,9039,The Americas and the Caribbean,United States,0.19
2021,West Midlands,E12000005,5950757,8221,The Americas and the Caribbean,United States,0.14
2021,East of England,E12000006,6335077,35388,The Americas and the Caribbean,United States,0.56
2021,London,E12000007,8799725,71127,The Americas and the Caribbean,United States,0.81
2021,South East,E12000008,9278064,35828,The Americas and the Caribbean,United States,0.39
2021,South West,E12000009,5701188,15779,The Americas and the Caribbean,United States,0.28
2021,North East,E12000001,2647004,2188,The Americas and the Caribbean,All South American countries,0.08
2021,North West,E12000002,7417398,14842,The Americas and the Caribbean,All South American countries,0.2
2021,Yorkshire and The Humber,E12000003,5480772,6032,The Americas and the Caribbean,All South American countries,0.11
2021,East Midlands,E12000004,4880054,6402,The Americas and the Caribbean,All South American countries,0.13
2021,West Midlands,E12000005,5950757,8114,The Americas and the Caribbean,All South American countries,0.14
2021,East of England,E12000006,6335077,17240,The Americas and the Caribbean,All South American countries,0.27
2021,London,E12000007,8799725,142318,The Americas and the Caribbean,All South American countries,1.62
2021,South East,E12000008,9278064,36775,The Americas and the Caribbean,All South American countries,0.4
2021,South West,E12000009,5701188,17342,The Americas and the Caribbean,All South American countries,0.3
2021,North East,E12000001,2647004,309,The Americas and the Caribbean,Jamaica,0.01
2021,North West,E12000002,7417398,6009,The Americas and the Caribbean,Jamaica,0.08
2021,Yorkshire and The Humber,E12000003,5480772,4850,The Americas and the Caribbean,Jamaica,0.09
