date,geography,geography_code,Rural_Urban,total_pop,value,cob_region,cob,percs
2011,North East,E12000001,Total,2596886,2938,Africa,North Africa,0.11
2011,North West,E12000002,Total,7052177,9228,Africa,North Africa,0.13
2011,Yorkshire and The Humber,E12000003,Total,5283733,7191,Africa,North Africa,0.14
2011,East Midlands,E12000004,Total,4533222,5051,Africa,North Africa,0.11
2011,West Midlands,E12000005,Total,5601847,6316,Africa,North Africa,0.11
2011,East,E12000006,Total,5846965,6930,Africa,North Africa,0.12
2011,London,E12000007,Total,8173941,52798,Africa,North Africa,0.65
2011,South East,E12000008,Total,8634750,14398,Africa,North Africa,0.17
2011,South West,E12000009,Total,5288935,5290,Africa,North Africa,0.1
2011,North East,E12000001,Total,2596886,925,Africa,Kenya,0.04
2011,North West,E12000002,Total,7052177,6568,Africa,Kenya,0.09
2011,Yorkshire and The Humber,E12000003,Total,5283733,4344,Africa,Kenya,0.08
2011,East Midlands,E12000004,Total,4533222,14297,Africa,Kenya,0.32
2011,West Midlands,E12000005,Total,5601847,11099,Africa,Kenya,0.2
2011,East,E12000006,Total,5846965,11093,Africa,Kenya,0.19
2011,London,E12000007,Total,8173941,64212,Africa,Kenya,0.79
2011,South East,E12000008,Total,8634750,18238,Africa,Kenya,0.21
2011,South West,E12000009,Total,5288935,5190,Africa,Kenya,0.1
2011,North East,E12000001,Total,2596886,2427,Africa,Other South and Eastern Africa,0.09
2011,North West,E12000002,Total,7052177,13551,Africa,Other South and Eastern Africa,0.19
2011,Yorkshire and The Humber,E12000003,Total,5283733,10291,Africa,Other South and Eastern Africa,0.19
2011,East Midlands,E12000004,Total,4533222,23004,Africa,Other South and Eastern Africa,0.51
2011,West Midlands,E12000005,Total,5601847,15301,Africa,Other South and Eastern Africa,0.27
2011,East,E12000006,Total,5846965,17463,Africa,Other South and Eastern Africa,0.3
2011,London,E12000007,Total,8173941,113703,Africa,Other South and Eastern Africa,1.39
2011,South East,E12000008,Total,8634750,30006,Africa,Other South and Eastern Africa,0.35
2011,South West,E12000009,Total,5288935,8613,Africa,Other South and Eastern Africa,0.16
2011,North East,E12000001,Total,2596886,241,Africa,Somalia,0.01
2011,North West,E12000002,Total,7052177,6048,Africa,Somalia,0.09
2011,Yorkshire and The Humber,E12000003,Total,5283733,3497,Africa,Somalia,0.07
2011,East Midlands,E12000004,Total,4533222,4844,Africa,Somalia,0.11
2011,West Midlands,E12000005,Total,5601847,9870,Africa,Somalia,0.18
2011,East,E12000006,Total,5846965,958,Africa,Somalia,0.02
2011,London,E12000007,Total,8173941,65333,Africa,Somalia,0.8
2011,South East,E12000008,Total,8634750,3475,Africa,Somalia,0.04
2011,South West,E12000009,Total,5288935,5218,Africa,Somalia,0.1
2011,North East,E12000001,Total,2596886,3533,Africa,South Africa,0.14
2011,North West,E12000002,Total,7052177,10500,Africa,South Africa,0.15
2011,Yorkshire and The Humber,E12000003,Total,5283733,7681,Africa,South Africa,0.15
2011,East Midlands,E12000004,Total,4533222,9454,Africa,South Africa,0.21
2011,West Midlands,E12000005,Total,5601847,8848,Africa,South Africa,0.16
